yearID,awardID,teamID,teamName,lgID,divID,playerName
2023,Most Valuable Player,ATL,Atlanta Braves,NL,E,Ronald Acuna
2023,Most Valuable Player,LAA,Los Angeles Angels of Anaheim,AL,W,Shohei Ohtani
2022,Most Valuable Player,NYA,New York Yankees,AL,E,Aaron Judge
2022,Most Valuable Player,SLN,St. Louis Cardinals,NL,C,Paul Goldschmidt
2020,Pitching Triple Crown,CLE,Cleveland Indians,AL,C,Shane Bieber
2023,Platinum Glove,CLE,Cleveland Guardians,AL,C,Andres Gimenez
2023,Platinum Glove,SDN,San Diego Padres,NL,W,Fernando Tatis
2022,Platinum Glove,NYA,New York Yankees,AL,E,Jose Trevino
2022,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Nolan Arenado
2021,Silver Slugger,ATL,Atlanta Braves,NL,E,Max Fried
2021,Platinum Glove,HOU,Houston Astros,AL,W,Carlos Correa
2021,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Nolan Arenado
2020,Platinum Glove,KCA,Kansas City Royals,AL,C,Alex Gordon
2020,Platinum Glove,COL,Colorado Rockies,NL,W,Nolan Arenado
2019,Platinum Glove,OAK,Oakland Athletics,AL,W,Matt Chapman
2019,Platinum Glove,COL,Colorado Rockies,NL,W,Nolan Arenado
2018,Platinum Glove,OAK,Oakland Athletics,AL,W,Matt Chapman
2018,Platinum Glove,COL,Colorado Rockies,NL,W,Nolan Arenado
2017,Platinum Glove,MIN,Minnesota Twins,AL,C,Byron Buxton
2017,Platinum Glove,COL,Colorado Rockies,NL,W,Nolan Arenado
2016,Platinum Glove,CHN,Chicago Cubs,NL,C,Anthony Rizzo
2016,Platinum Glove,CLE,Cleveland Indians,AL,C,Francisco Lindor
2015,Platinum Glove,TBA,Tampa Bay Rays,AL,E,Kevin Kiermaier
2015,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2014,Platinum Glove,KCA,Kansas City Royals,AL,C,Alex Gordon
2014,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2013,Platinum Glove,ATL,Atlanta Braves,NL,E,Andrelton Simmons
2013,Platinum Glove,BAL,Baltimore Orioles,AL,E,Manny Machado
2012,Platinum Glove,TEX,Texas Rangers,AL,W,Adrian Beltre
2012,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2011,Platinum Glove,TEX,Texas Rangers,AL,W,Adrian Beltre
2011,Platinum Glove,SLN,St. Louis Cardinals,NL,C,Yadier Molina
2023,Rookie of the Year,ARI,Arizona Diamondbacks,NL,W,Corbin Carroll
2023,Rookie of the Year,BAL,Baltimore Orioles,AL,E,Gunnar Henderson
2022,Rookie of the Year,SEA,Seattle Mariners,AL,W,Julio Rodriguez
2022,Rookie of the Year,ATL,Atlanta Braves,NL,E,Michael Harris
2023,Silver Slugger,TBA,Tampa Bay Rays,AL,E,Yandy Diaz
2023,Silver Slugger,ATL,Atlanta Braves,NL,E,Matt Olson
2023,Silver Slugger,MIA,Miami Marlins,NL,E,Luis Arraez
2023,Silver Slugger,TEX,Texas Rangers,AL,W,Marcus Semien
2023,Silver Slugger,BOS,Boston Red Sox,AL,E,Rafael Devers
2023,Silver Slugger,ATL,Atlanta Braves,NL,E,Austin Riley
2023,Silver Slugger,MIL,Milwaukee Brewers,NL,C,William Contreras
