yearID,teamID,TotalWins,TotalRuns,TotalHRs,AvgERA
2023,ATL,104,947,307,4.14
2023,BAL,101,807,183,3.89
2023,LAN,100,906,249,4.06
2023,TBA,99,860,230,3.86
2023,MIL,92,728,165,3.71
2023,TEX,90,881,233,4.28
2023,PHI,90,796,220,4.03
2023,HOU,90,827,222,3.94
2023,TOR,89,746,188,3.78
2023,SEA,88,758,210,3.74
2023,MIN,87,778,233,3.87
2023,MIA,84,666,166,4.21
2023,ARI,84,746,166,4.48
2023,CHN,83,819,196,4.08
2023,SDN,82,752,205,3.73
2023,NYA,82,673,219,3.97
2023,CIN,82,783,198,4.83
2023,SFN,79,674,174,4.02
2023,DET,78,661,165,4.24
2023,BOS,78,772,182,4.52
2023,PIT,76,692,159,4.6
2023,CLE,76,662,124,3.96
2023,NYN,75,717,215,4.3
2023,LAA,73,739,231,4.64
2023,WAS,71,700,151,5.02
2023,SLN,71,719,209,4.79
2023,CHA,61,641,171,4.87
2023,COL,59,721,163,5.67
2023,KCA,56,676,163,5.17
2023,OAK,50,585,171,5.48
2022,LAN,111,847,212,2.8
2022,HOU,106,737,214,2.9
2022,NYN,101,772,171,3.57
2022,ATL,101,789,243,3.46
2022,NYA,99,807,254,3.3
2022,SLN,93,772,197,3.79
2022,TOR,92,775,200,3.87
2022,CLE,92,698,127,3.46
2022,SEA,90,690,197,3.59
2022,SDN,89,705,153,3.81
2022,PHI,87,747,205,3.97
2022,TBA,86,666,139,3.41
2022,MIL,86,725,219,3.83
2022,BAL,83,674,171,3.97
2022,SFN,81,716,183,3.85
2022,CHA,81,686,149,3.92
2022,MIN,78,696,178,3.98
2022,BOS,78,735,155,4.53
2022,CHN,74,657,159,4.0
2022,ARI,74,702,173,4.25
2022,LAA,73,623,190,3.77
2022,MIA,69,586,144,3.86
2022,TEX,68,707,198,4.22
2022,COL,68,698,149,5.06
2022,DET,66,557,110,4.04
2022,KCA,65,640,138,4.7
2022,PIT,62,591,158,4.66
2022,CIN,62,648,156,4.86
2022,OAK,60,568,137,4.52
2022,WAS,55,603,136,5.0
2021,SFN,107,804,241,3.24
2021,LAN,106,830,237,3.01
2021,TBA,100,857,222,3.67
2021,MIL,95,738,194,3.5
2021,HOU,95,863,221,3.78
2021,CHA,93,796,190,3.73
2021,NYA,92,711,222,3.74
2021,BOS,92,829,219,4.26
2021,TOR,91,846,262,3.91
2021,SLN,90,706,198,3.98
2021,SEA,90,697,199,4.3
2021,ATL,88,790,239,3.88
2021,OAK,86,743,199,4.02
2021,CIN,83,786,222,4.4
2021,PHI,82,734,198,4.39
2021,CLE,80,717,203,4.34
2021,SDN,79,729,180,4.1
2021,NYN,77,636,176,3.9
2021,LAA,77,723,190,4.69
2021,DET,77,697,179,4.32
2021,KCA,74,686,163,4.64
2021,COL,74,739,182,4.82
2021,MIN,73,729,228,4.83
2021,CHN,71,705,210,4.87
2021,MIA,67,623,158,3.96
2021,WAS,65,724,182,4.8
2021,PIT,61,609,124,5.08
2021,TEX,60,625,167,4.79
2021,BAL,52,659,195,5.84
2021,ARI,52,679,144,5.11
2020,LAN,43,349,118,3.02
2020,TBA,40,289,80,3.56
2020,SDN,37,325,95,3.86
2020,OAK,36,274,71,3.77
2020,MIN,36,269,91,3.58
2020,CLE,35,248,59,3.29
2020,CHA,35,306,96,3.81
2020,ATL,35,348,103,4.41
2020,CHN,34,265,74,3.99
2020,NYA,33,315,94,4.35
2020,TOR,32,302,88,4.6
2020,MIA,31,263,60,4.86
2020,CIN,31,243,90,3.84
2020,SLN,30,240,51,3.9
2020,SFN,29,299,81,4.64
2020,MIL,29,247,75,4.16
2020,HOU,29,279,69,4.31
2020,PHI,28,306,82,5.14
2020,SEA,27,254,60,5.03
2020,WAS,26,293,66,5.09
2020,NYN,26,286,86,4.98
2020,LAA,26,294,85,5.09
2020,KCA,26,248,68,4.3
2020,COL,26,275,63,5.59
2020,BAL,25,274,77,4.51
2020,ARI,25,269,58,4.84
2020,BOS,24,292,81,5.58
2020,DET,23,249,62,5.63
2020,TEX,22,224,62,5.02
2020,PIT,19,219,59,4.68
2019,HOU,107,920,288,3.66
2019,LAN,106,886,279,3.37
2019,NYA,103,943,306,4.31
2019,MIN,101,939,307,4.18
2019,OAK,97,845,257,3.97
2019,ATL,97,855,249,4.19
2019,TBA,96,769,217,3.65
2019,WAS,93,873,231,4.27
2019,CLE,93,769,223,3.76
2019,SLN,91,764,210,3.8
2019,MIL,89,769,250,4.4
2019,NYN,86,791,242,4.24
2019,ARI,85,813,220,4.25
2019,CHN,84,814,256,4.1
2019,BOS,84,901,245,4.7
2019,PHI,81,774,215,4.53
2019,TEX,78,810,223,5.06
2019,SFN,77,678,167,4.38
2019,CIN,75,701,227,4.18
2019,LAA,72,769,220,5.12
2019,CHA,72,708,182,4.9
2019,COL,71,835,224,5.56
2019,SDN,70,682,219,4.6
2019,PIT,69,758,163,5.18
2019,SEA,68,758,239,4.99
2019,TOR,67,726,247,4.79
2019,KCA,59,691,162,5.2
2019,MIA,57,615,146,4.74
2019,BAL,54,729,213,5.59
2019,DET,47,582,149,5.24
2018,BOS,108,876,208,3.75
2018,HOU,103,797,205,3.11
2018,NYA,100,851,267,3.78
2018,OAK,97,813,227,3.81
2018,MIL,96,754,218,3.73
2018,CHN,95,761,167,3.65
2018,LAN,92,804,235,3.38
2018,COL,91,780,210,4.33
2018,CLE,91,818,216,3.77
2018,TBA,90,716,150,3.74
2018,ATL,90,759,175,3.75
2018,SEA,89,677,176,4.13
2018,SLN,88,759,205,3.85
2018,WAS,82,771,191,4.04
2018,PIT,82,692,157,4.0
2018,ARI,82,693,176,3.72
2018,PHI,80,677,186,4.14
2018,LAA,80,721,214,4.15
2018,MIN,78,738,166,4.5
2018,NYN,77,676,170,4.07
2018,TOR,73,709,217,4.85
2018,SFN,73,603,133,3.95
2018,TEX,67,737,194,4.92
2018,CIN,67,696,172,4.63
2018,SDN,66,617,162,4.4
2018,DET,64,630,135,4.58
2018,MIA,63,589,128,4.76
2018,CHA,62,656,182,4.83
