yearID,Category,TotalHRs,AvgBA,TotalRBI,OBP,SLG,OPS
2023,Batting,5868,0.248,21512.0,0.32,0.0,0.32
2023,Pitching,41843,6.01,2430.0,77.49,29.29,11.0
2022,Batting,5215,0.243,19888.0,0.312,0.0,0.312
2022,Pitching,40812,5.38,2430.0,75.58,27.51,11.0
2021,Batting,5944,0.244,20993.0,0.317,0.0,0.317
2021,Pitching,42145,inf,2429.0,78.08,29.26,11.0
2020,Batting,2304,0.245,7978.0,0.322,0.0,0.322
2020,Pitching,15586,6.5,898.0,78.1,30.53,11.0
2019,Batting,6776,0.252,22471.0,0.323,0.0,0.323
2019,Pitching,42823,inf,2429.0,79.33,29.45,11.0
2018,Batting,5585,0.248,20606.0,0.318,0.0,0.318
2018,Pitching,41207,inf,2431.0,76.28,29.04,11.0
2017,Batting,6105,0.255,21558.0,0.324,0.0,0.324
2017,Pitching,40104,inf,2430.0,74.27,29.31,11.0
2016,Batting,5610,0.255,20745.0,0.322,0.0,0.322
2016,Pitching,38982,5.24,2427.0,72.28,27.98,11.0
2015,Batting,4909,0.254,19650.0,0.317,0.0,0.317
2015,Pitching,37446,inf,2429.0,69.37,26.07,11.0
2014,Batting,4186,0.251,18745.0,0.314,0.0,0.314
2014,Pitching,37441,inf,2430.0,69.34,25.96,11.0
2013,Batting,4661,0.253,19271.0,0.318,0.0,0.318
2013,Pitching,36710,4.91,2431.0,67.95,27.1,11.0
2012,Batting,4934,0.255,19998.0,0.319,0.0,0.319
2012,Pitching,36426,inf,2430.0,67.46,27.24,11.0
2011,Batting,4552,0.255,19804.0,0.321,0.0,0.321
2011,Pitching,34488,4.71,2429.0,63.89,27.82,11.0
2010,Batting,4613,0.257,20288.0,0.325,0.0,0.325
2010,Pitching,34306,5.31,2430.0,63.53,29.22,12.0
2009,Batting,5042,0.262,21364.0,0.333,0.0,0.333
2009,Pitching,33591,5.7,2430.0,62.21,30.78,12.0
2008,Batting,4878,0.264,21541.0,0.333,0.0,0.333
2008,Pitching,32884,5.16,2428.0,60.95,30.28,12.0
2007,Batting,4957,0.268,22257.0,0.336,0.0,0.336
2007,Pitching,32189,5.87,2431.0,59.58,29.76,12.0
2006,Batting,5386,0.269,22491.0,0.337,0.0,0.337
2006,Pitching,31655,5.55,2429.0,58.64,29.36,12.0
2005,Batting,5017,0.264,21248.0,0.33,0.0,0.33
2005,Pitching,30644,inf,2430.0,56.75,28.16,12.0
2004,Batting,5451,0.266,22248.0,0.335,0.0,0.335
2004,Pitching,31828,inf,2428.0,58.99,30.07,12.0
2003,Batting,5207,0.264,21886.0,0.333,0.0,0.333
2003,Pitching,30801,inf,2429.0,57.06,29.44,12.0
2002,Batting,5059,0.261,21332.0,0.331,0.0,0.331
2002,Pitching,31394,inf,2425.0,58.26,30.15,12.0
2001,Batting,5458,0.264,22088.0,0.332,0.0,0.332
2001,Pitching,32404,5.5,2428.0,60.06,29.29,12.0
2000,Batting,5693,0.27,23735.0,0.345,0.0,0.345
2000,Pitching,31356,6.4,2428.0,58.11,33.8,13.0
