teamID,yearID,team_name,total_payroll,hitters_salary,pitchers_salary,W,cost_per_win,HR,cost_per_hr,SO,cost_per_strikeout
ANA,2000,Anaheim Angels,80264167,79864167,50520000,82,978831,236,338407,1024.0,49335.9375
ANA,2001,Anaheim Angels,47535167,34048500,12241000,75,633802,158,215496,1001.0,12228.77122877123
ANA,2002,Anaheim Angels,62221667,62021667,26744167,99,628501,152,408037,805.0,33222.56770186335
ANA,2003,Anaheim Angels,118714167,118411667,76684167,77,1541742,150,789411,838.0,91508.55250596658
ANA,2004,Anaheim Angels,100534667,100233167,44668167,92,1092768,162,618723,942.0,47418.43630573248
ARI,2000,Arizona Diamondbacks,134252838,134252838,88793505,85,1579445,179,750015,975.0,91070.26153846153
ARI,2001,Arizona Diamondbacks,85682999,77455499,42329166,92,931336,208,372382,1052.0,40236.849809885935
ARI,2002,Arizona Diamondbacks,103319999,103319999,59772499,98,1054285,165,626181,1016.0,58831.199803149604
ARI,2003,Arizona Diamondbacks,104207000,104207000,55308333,84,1240559,152,685572,1006.0,54978.46222664016
ARI,2004,Arizona Diamondbacks,91130750,90800750,43410750,51,1786877,135,672598,1022.0,42476.27201565558
ARI,2005,Arizona Diamondbacks,70659166,70341166,24912500,77,917651,191,368278,1094.0,22771.937842778792
ARI,2006,Arizona Diamondbacks,107398124,107398124,64358000,76,1413133,160,671238,965.0,66692.22797927461
ARI,2007,Arizona Diamondbacks,55226546,55226546,34477046,90,613628,171,322962,1111.0,31032.444644464445
ARI,2008,Arizona Diamondbacks,66604712,66604712,41600046,82,812252,159,418897,1287.0,32323.268065268065
ARI,2009,Arizona Diamondbacks,104230666,104230666,68892000,70,1489009,173,602489,1298.0,53075.50077041602
ARI,2010,Arizona Diamondbacks,126173166,117673166,81693000,65,1941125,180,653739,1529.0,53429.03858731197
ARI,2011,Arizona Diamondbacks,60489833,60489833,20662000,94,643508,172,351685,1249.0,16542.83426741393
ARI,2012,Arizona Diamondbacks,107952333,107952333,46385000,81,1332744,165,654256,1266.0,36639.0205371248
ARI,2013,Arizona Diamondbacks,110427000,110427000,53306500,81,1363296,130,849438,1142.0,46678.196147110335
ARI,2014,Arizona Diamondbacks,122859500,122859500,44975000,64,1919679,118,1041182,1165.0,38605.15021459227
ARI,2015,Arizona Diamondbacks,94134000,94134000,47183500,79,1191569,154,611259,1312.0,35963.03353658537
ARI,2016,Arizona Diamondbacks,122239063,122239063,93456530,69,1771580,190,643363,1427.0,65491.611772950244
ATL,2000,Atlanta Braves,86160336,77240336,30525237,95,906950,179,431510,1010.0,30223.00693069307
ATL,2001,Atlanta Braves,98716166,98271666,48090000,88,1121774,174,564779,1039.0,46284.889316650624
ATL,2002,Atlanta Braves,92870367,91170367,42410367,101,919508,164,555916,1028.0,41255.22081712062
ATL,2003,Atlanta Braves,106243667,103243667,47487167,101,1051917,235,439334,933.0,50897.28510182208
ATL,2004,Atlanta Braves,91307500,91307500,48494167,96,951119,178,512963,1158.0,41877.518998272884
ATL,2005,Atlanta Braves,90045302,90045302,48079000,90,1000503,184,489376,1084.0,44353.32103321033
ATL,2006,Atlanta Braves,97101876,81912333,38836000,79,1229137,222,368974,1169.0,33221.55688622755
ATL,2007,Atlanta Braves,111060833,95425833,53210000,84,1322152,176,542192,1149.0,46309.83463881636
ATL,2008,Atlanta Braves,121865683,121475683,63285184,72,1692578,130,934428,1023.0,61862.349951124146
ATL,2009,Atlanta Braves,107758666,106758666,68286166,86,1253007,149,716501,1064.0,64178.72744360902
ATL,2010,Atlanta Braves,86103666,85701166,46266166,91,946194,139,616555,1140.0,40584.35614035088
ATL,2011,Atlanta Braves,87002692,87002692,39415000,89,977558,173,502905,1260.0,31281.74603174603
ATL,2012,Atlanta Braves,85079942,84599942,25468000,94,905105,149,567784,1289.0,19757.951900698215
