playerID,awardID,yearID,lgID,tie,notes
acunaro01,Most Valuable Player,2023,NL,No,N/A
ohtansh01,Most Valuable Player,2023,AL,No,N/A
judgeaa01,Most Valuable Player,2022,AL,No,N/A
goldspa01,Most Valuable Player,2022,NL,No,N/A
biebesh01,Pitching Triple Crown,2020,AL,No,N/A
gimenan01,Platinum Glove,2023,AL,No,N/A
tatisfe02,Platinum Glove,2023,NL,No,N/A
trevijo01,Platinum Glove,2022,AL,No,N/A
arenano01,Platinum Glove,2022,NL,No,N/A
friedma01,Silver Slugger,2021,NL,No,P
correca01,Platinum Glove,2021,AL,No,N/A
arenano01,Platinum Glove,2021,NL,No,N/A
gordoal01,Platinum Glove,2020,AL,No,N/A
arenano01,Platinum Glove,2020,NL,No,N/A
chapmma01,Platinum Glove,2019,AL,No,N/A
arenano01,Platinum Glove,2019,NL,No,N/A
chapmma01,Platinum Glove,2018,AL,No,N/A
arenano01,Platinum Glove,2018,NL,No,N/A
buxtoby01,Platinum Glove,2017,AL,No,N/A
arenano01,Platinum Glove,2017,NL,No,N/A
rizzoan01,Platinum Glove,2016,NL,No,N/A
lindofr01,Platinum Glove,2016,AL,No,N/A
kiermke01,Platinum Glove,2015,AL,No,N/A
molinya01,Platinum Glove,2015,NL,No,N/A
gordoal01,Platinum Glove,2014,AL,No,N/A
molinya01,Platinum Glove,2014,NL,No,N/A
simmoan01,Platinum Glove,2013,NL,No,N/A
machama01,Platinum Glove,2013,AL,No,N/A
beltrad01,Platinum Glove,2012,AL,No,N/A
molinya01,Platinum Glove,2012,NL,No,N/A
beltrad01,Platinum Glove,2011,AL,No,N/A
molinya01,Platinum Glove,2011,NL,No,N/A
carroco02,Rookie of the Year,2023,NL,No,N/A
hendegu01,Rookie of the Year,2023,AL,No,N/A
rodriju01,Rookie of the Year,2022,AL,No,N/A
harrimi04,Rookie of the Year,2022,NL,No,N/A
diazya01,Silver Slugger,2023,AL,No,1B
olsonma02,Silver Slugger,2023,NL,No,1B
arraelu01,Silver Slugger,2023,NL,No,2B
semiema01,Silver Slugger,2023,AL,No,2B
deverra01,Silver Slugger,2023,AL,No,3B
rileyau01,Silver Slugger,2023,NL,No,3B
contrwi02,Silver Slugger,2023,NL,No,C
rutscad01,Silver Slugger,2023,AL,No,C
harpebr03,Silver Slugger,2023,NL,No,DH
ohtansh01,Silver Slugger,2023,AL,No,DH
acunaro01,Silver Slugger,2023,NL,No,OF
bettsmo01,Silver Slugger,2023,NL,No,OF
roberlu01,Silver Slugger,2023,AL,No,OF
rodriju01,Silver Slugger,2023,AL,No,OF
sotoju01,Silver Slugger,2023,NL,No,OF
tuckeky01,Silver Slugger,2023,AL,No,OF
lindofr01,Silver Slugger,2023,NL,No,SS
seageco01,Silver Slugger,2023,AL,No,SS
bellico01,Silver Slugger,2023,NL,No,UT
hendegu01,Silver Slugger,2023,AL,No,UT
goldspa01,Silver Slugger,2022,NL,No,1B
lowena01,Silver Slugger,2022,AL,No,1B
altuvjo01,Silver Slugger,2022,AL,No,2B
mcneije01,Silver Slugger,2022,NL,No,2B
arenano01,Silver Slugger,2022,NL,No,3B
ramirjo01,Silver Slugger,2022,AL,No,3B
kirkal01,Silver Slugger,2022,AL,No,C
realmjt01,Silver Slugger,2022,NL,No,C
alvaryo01,Silver Slugger,2022,AL,No,DH
belljo02,Silver Slugger,2022,NL,No,DH
bettsmo01,Silver Slugger,2022,NL,No,OF
judgeaa01,Silver Slugger,2022,AL,No,OF
rodriju01,Silver Slugger,2022,AL,No,OF
schwaky01,Silver Slugger,2022,NL,No,OF
sotoju01,Silver Slugger,2022,NL,No,OF
troutmi01,Silver Slugger,2022,AL,No,OF
bogaexa01,Silver Slugger,2022,AL,No,SS
turnetr01,Silver Slugger,2022,NL,No,SS
arraelu01,Silver Slugger,2022,AL,No,UT
drurybr01,Silver Slugger,2022,NL,No,UT
kineris01,Gold Glove,2020,AL,No,3B
crawfjp01,Gold Glove,2020,AL,No,SS
roberlu01,Gold Glove,2020,AL,No,LF
gordoal01,Gold Glove,2020,AL,No,CF
gallojo01,Gold Glove,2020,AL,No,RF
cannigr01,Gold Glove,2020,AL,No,P
barnhtu01,Gold Glove,2020,NL,No,C
rizzoan01,Gold Glove,2020,NL,No,1B
wongko01,Gold Glove,2020,NL,No,2B
arenano01,Gold Glove,2020,NL,No,3B
baezja01,Gold Glove,2020,NL,No,SS
oneilty01,Gold Glove,2020,NL,No,LF
grishtr01,Gold Glove,2020,NL,No,CF
bettsmo01,Gold Glove,2020,NL,No,RF
friedma01,Gold Glove,2020,NL,No,P
snellbl01,Cy Young Award,2023,NL,No,N/A
colege01,Cy Young Award,2023,AL,No,N/A
verlaju01,Cy Young Award,2022,AL,No,N/A
alcansa01,Cy Young Award,2022,NL,No,N/A
lowena01,Gold Glove,2023,AL,No,1B
walkech02,Gold Glove,2023,NL,No,1B
gimenan01,Gold Glove,2023,AL,No,2B
hoernni01,Gold Glove,2023,NL,No,2B
chapmma01,Gold Glove,2023,AL,No,3B
